"Reference";"BroadFunction";"Protein";"Chr";"Strand";"G.Start";"G.End";"G.Size..nt.";"Inter.genic";"Start..cum.";"End..cum.";"N..Introns";"Size..nt..sum";"Size_prot.aa.";"Final.Description";"Closest.Organism..excl..Ophios.Sporothrix.";"Closest.Organism..excl..O.novo.ulmi.only.";"KEGG_KO.";"KEGG_Name";"Blast2GO_Annotation";"X.GO.Terms";"GO.Terms";"Enzyme.Code";"CAZy";"MEROPS_family";"SignalP";"Alterna_Splice";"SMURF";"Notes";"gene_ID"
"53";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1741";"I";"-";"6.562.103";"6.563.609";1.507;666;"6.562.103";"6.563.609";1;64;480;"GPI mannosyltransferase 1";"Grosmannia clavigera";"Ophiostoma piceae";"K05284";"PIGM; phosphatidylinositol glycan, class M [EC:2.4.1.-]";"gpi mannosyltransferase";4;"F:transferase activity, transferring glycosyl groups; P:cellular process; C:endoplasmic reticulum; C:membrane part";"-";"GT50 ";"";"N";"";"";"";"g1741"
"54";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1743";"I";"-";"6.565.096";"6.566.268";1.173;174;"6.565.096";"6.566.268";0;0;390;"4-O-methyl-glucuronoyl methylesterase";"Togninia minima";"Sporothrix schenckii";"";"";"carbohydrate esterase family 15 protein";1;"F:hydrolase activity";"-";"CE15 ";"S09X";"Y";"";"";"";"g1743"
"55";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1754";"I";"+";"6.615.382";"6.618.177";2.796;787;"6.615.382";"6.618.177";2;102;897;"Glycoside hydrolase family 3 protein";"Pestalotiopsis fici";"Ophiostoma piceae";"K05349";"bglX; beta-glucosidase [EC:3.2.1.21]";"glycoside hydrolase family 3 protein";1;"F:hydrolase activity";"-";"GH3 ";"";"N";"";"";"";"g1754"
"56";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1775";"I";"+";"6.687.268";"6.690.141";2.874;1.335;"6.687.268";"6.690.141";0;0;957;"Glucosidase 2 subunit alpha (Alpha-glucosidase II subunit alpha)";"Grosmannia clavigera";"Ophiostoma piceae";"K05546";"GANAB; alpha 1,3-glucosidase [EC:3.2.1.84]";"glycoside hydrolase family 31 protein";3;"F:carbohydrate binding; P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds";"EC:3.2.1.0";"GH31 ";"";"Y";"";"";"";"g1775"
"57";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1787";"I";"+";"6.735.761";"6.739.723";3.963;834;"6.735.761";"6.739.723";0;0;1.32;"Exo-1,3-beta-D-glucanase";"Aspergillus kawachii";"Aspergillus kawachii";"";"";"exo- -beta-d-glucanase";1;"F:hydrolase activity";"-";"GH55 ";"";"Y";"";"";"";"g1787"
"58";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1813";"I";"-";"6.809.062";"6.810.436";1.375;693;"6.809.062";"6.810.436";1;79;431;"Chitinase 1";"Colletotrichum sublineola";"Ophiostoma piceae";"K01183";"E3.2.1.14; chitinase [EC:3.2.1.14]";"glycoside hydrolase family 18 protein";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process";"EC:3.2.1.0";"GH18 ";"";"Y";"";"";"";"g1813"
"59";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1890";"II";"-";"134.312";"135.794";1.483;1.281;"7.072.244";"7.073.726";1;49;477;"Beta-glucosidase 1B (Cellobiase 1B)";"Scedosporium apiospermum";"Ophiostoma piceae";"K01188";"E3.2.1.21; beta-glucosidase [EC:3.2.1.21]";"beta-glucosidase a";3;"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:cation binding";"EC:3.2.1.0";"GH1 ";"";"N";"";"";"";"g1890"
"60";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1914";"II";"-";"211.251";"214.851";3.601;1.065;"7.149.183";"7.152.783";3;2.17;476;"Endo-1,4-beta-xylanase";"Pestalotiopsis fici";"Ophiostoma piceae";"K01181";"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]";"glycoside hydrolase family 11 protein";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process";"EC:3.2.1.0";"GH11 ";"";"N";"";"";"";"g1914"
"61";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp1926";"II";"-";"266.258";"267.865";1.608;838;"7.204.190";"7.205.797";1;69;512;"Alpha-l-arabinofuranosidase";"Grosmannia clavigera";"Ophiostoma piceae";"K01209";"E3.2.1.55, abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]";"glycoside hydrolase family 51 protein";4;"P:L-arabinose metabolic process; P:polysaccharide catabolic process; F:alpha-N-arabinofuranosidase activity; F:cation binding";"EC:3.2.1.55";"GH51 ";"";"N";"";"";"";"g1926"
"62";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2020";"II";"-";"677.820";"681.377";3.558;358;"7.615.752";"7.619.309";0;0;1.185;"ER degradation-enhancing alpha-mannosidase-like protein 1";"Grosmannia clavigera";"Ophiostoma piceae";"K10084";"EDEM1; ER degradation enhancer, mannosidase alpha-like 1";"glycoside hydrolase family 47 protein";1;"F:hydrolase activity";"-";"GH47 ";"";"Y";"";"";"";"g2020"
"63";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2047";"II";"-";"782.493";"784.463";1.971;1.166;"7.720.425";"7.722.395";0;0;656;"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB";"Togninia minima";"Ophiostoma piceae";"";"";"glycoside hydrolase family 47 protein";7;"F:calcium ion binding; C:membrane; F:mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; P:biological_process; F:hydrolase activity; P:metabolic process; F:hydrolase activity, acting on glycosyl bonds";"";"GH47 ";"";"N";"";"";"";"g2047"
"64";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2059";"II";"+";"818.452";"819.144";693;1.213;"7.756.384";"7.757.076";0;0;230;"Glycoside hydrolase family 45 protein";"Thielavia terrestris";"Ophiostoma piceae";"";"";"glycoside hydrolase family 45 protein";2;"P:carbohydrate metabolic process; F:cellulase activity";"EC:3.2.1.4";"GH45 ";"";"Y";"";"";"";"g2059"
"65";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2068";"II";"+";"854.215";"856.174";1.96;293;"7.792.147";"7.794.106";4;199;586;"Xylosidase/arabinosidase (Beta-xylosidase)";"Pestalotiopsis fici";"Pestalotiopsis fici";"";"";"glycoside hydrolase family 43 protein";3;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; F:hydrolase activity";"";"GH43 ";"";"Y";"";"";"";"g2068"
"66";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2112";"II";"+";"1.004.191";"1.005.334";1.144;2.433;"7.942.123";"7.943.266";1;49;364;"Beta-glucanase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 16 protein";2;"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds";"EC:3.2.1.0";"GH16 ";"";"Y";"";"";"";"g2112"
"67";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2113";"II";"+";"1.009.683";"1.011.704";2.022;4.348;"7.947.615";"7.949.636";0;0;673;"Glucanase b";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glucanase b";4;"F:hydrolase activity; F:carbohydrate binding; P:biological_process; C:cellular_component";"";"GH64 ";"";"N";"";"";"";"g2113"
"68";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2143";"II";"-";"1.159.889";"1.162.868";2.98;633;"8.097.821";"8.100.800";3;205;924;"Glycoside hydrolase family 92 protein";"Botrytis cinerea";"Ophiostoma piceae";"";"";"glycosyl hydrolase";1;"F:catalytic activity";"-";"GH92 ";"";"Y";"";"";"";"g2143"
"69";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2209";"II";"+";"1.426.798";"1.429.381";2.584;3.013;"8.364.730";"8.367.313";4;307;758;"Protein O-mannosyl transferase";"Grosmannia clavigera";"Ophiostoma piceae";"K00728";"POMT; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]";"glycosyltransferase family 39 protein";3;"C:membrane; F:mannosyltransferase activity; P:protein O-linked glycosylation";"-";"GT39 ";"";"N";"";"";"";"g2209"
"70";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2239";"II";"-";"1.549.526";"1.550.860";1.335;1.394;"8.487.458";"8.488.792";0;0;444;"Alkali-sensitive linkage protein 1";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycosyl hydrolase 53 domain-containing protein";6;"P:carbohydrate metabolic process; F:cation binding; F:catalytic activity; F:molecular_function; P:biological_process; C:cellular_component";"";"GH128 ";"";"Y";"";"";"";"g2239"
"71";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2307";"II";"+";"1.838.217";"1.839.600";1.384;3.966;"8.776.149";"8.777.532";1;61;440;"GPI-anchored cell wall beta-endoglucanase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"gpi-anchored cell wall beta- -endoglucanase";3;"P:carbohydrate metabolic process; F:cation binding; F:catalytic activity";"-";"GH17 ";"";"Y";"";"";"";"g2307"
"72";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2358";"II";"+";"2.031.619";"2.034.093";2.475;1.218;"8.969.551";"8.972.025";2;210;754;"Oligosaccharyl transferase subunit";"Grosmannia clavigera";"Ophiostoma piceae";"K07151";"STT3; dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.1.119]";"oligosaccharyl transferase stt3 subunit";6;"C:ribosome; F:structural constituent of ribosome; P:protein glycosylation; F:oligosaccharyl transferase activity; C:membrane; P:translation";"-";"GT66 ";"";"N";"";"";"";"g2358"
"73";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2436";"II";"-";"2.320.260";"2.321.424";1.165;870;"9.258.192";"9.259.356";2;130;344;"Putative uncharacterized protein";"Sclerotinia sclerotiorum";"Ophiostoma piceae";"";"";"fungal cellulose binding domain-containing partial";3;"P:lipid metabolic process; F:hydrolase activity, acting on ester bonds; F:hydrolase activity";"";"CE16 ";"";"N";"";"";"";"g2436"
"74";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2521";"II";"-";"2.656.920";"2.658.804";1.885;1.656;"9.594.852";"9.596.736";1;58;608;"Alpha-glucosidase (Maltase)";"Grosmannia clavigera";"Ophiostoma piceae";"K01187";"E3.2.1.20, malZ; alpha-glucosidase [EC:3.2.1.20]";"glycoside hydrolase family 13 protein";3;"P:carbohydrate metabolic process; F:cation binding; F:catalytic activity";"-";"GH13 ";"";"N";"";"";"";"g2521"
"75";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2657";"II";"+";"3.218.087";"3.219.901";1.815;1.68;"10.156.019";"10.157.833";0;0;604;"Peptidoglycan-binding protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"peptidoglycan-binding protein";3;"F:molecular_function; P:cell wall macromolecule catabolic process; C:cellular_component";"";"CBM50 ";"";"N";"";"";"";"g2657"
"76";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2658";"II";"-";"3.220.244";"3.221.497";1.254;342;"10.158.176";"10.159.429";0;0;417;"Glycoside hydrolase family 5 protein";"Togninia minima";"Ophiostoma piceae";"";"";"cellulase family protein";1;"F:hydrolase activity";"-";"GH5 ";"";"N";"";"";"";"g2658"
"77";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2681";"II";"+";"3.282.069";"3.284.720";2.652;1.489;"10.220.001";"10.222.652";0;0;883;"Beta-galactosidase (Beta-gal)";"Togninia minima";"Ophiostoma piceae";"K01195";"E3.2.1.31, GUSB, uidA; beta-glucuronidase [EC:3.2.1.31]";"glycoside hydrolase family 2 protein";2;"F:hydrolase activity; P:metabolic process";"-";"GH2 ";"";"Y";"";"";"";"g2681"
"78";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2685";"II";"+";"3.305.483";"3.307.895";2.413;1.787;"10.243.415";"10.245.827";1;55;785;"Mannosyltransferase";"Grosmannia clavigera";"Ophiostoma piceae";"K05286";"PIGB; phosphatidylinositol glycan, class B [EC:2.4.1.-]";"glycosyltransferase family 22 protein";4;"P:GPI anchor biosynthetic process; F:transferase activity; C:intrinsic to endoplasmic reticulum membrane; F:transferase activity, transferring glycosyl groups";"";"GT22 ";"";"N";"";"";"";"g2685"
"79";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2734";"II";"-";"3.441.830";"3.443.146";1.317;296;"10.379.762";"10.381.078";0;0;438;"Dolichyl-phosphate beta-transferase";"Grosmannia clavigera";"Ophiostoma piceae";"K00729";"ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]";"dolichyl-phosphate beta-glucosyltransferase";1;"F:transferase activity";"-";"GT2 ";"";"N";"";"";"";"g2734"
"80";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2742";"II";"-";"3.478.523";"3.479.515";993;408;"10.416.455";"10.417.447";0;0;330;"Glucan endo-1,3-beta-glucosidase A1-like protein";"Metarhizium anisopliae";"Ophiostoma piceae";"";"";"glucan endo- -beta-glucosidase a1-like protein";1;"P:mycelium development";"-";"GH16 ";"";"Y";"";"";"";"g2742"
"81";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2767";"II";"-";"3.558.960";"3.561.162";2.203;620;"10.496.892";"10.499.094";1;2.005;65;"Putative uncharacterized protein";"Scedosporium apiospermum";"Sporothrix schenckii";"";"";"glycoside hydrolase family 45 protein";3;"F:cellulase activity; P:carbohydrate metabolic process; F:hydrolase activity";"";"GH45 ";"";"N";"";"";"";"g2767"
"82";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2875";"II";"-";"3.986.649";"3.988.863";2.215;188;"10.924.581";"10.926.795";1;73;713;"Trehalase";"Grosmannia clavigera";"Ophiostoma piceae";"K01194";"E3.2.1.28, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]";"glycoside hydrolase family 37 protein";2;"P:trehalose metabolic process; F:alpha,alpha-trehalase activity";"EC:3.2.1.28";"GH37 ";"";"N";"";"";"";"g2875"
"83";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2877";"II";"+";"3.993.245";"3.994.465";1.221;1.482;"10.931.177";"10.932.397";0;0;406;"Glycosyl transferase family 17 protein";"Magnaporthe oryzae";"Ophiostoma piceae";"K00737";"MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]";"glycosyl transferase family 17 protein";4;"P:protein N-linked glycosylation; F:beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity; F:transferase activity; C:membrane";"";"GT17 ";"";"N";"";"";"";"g2877"
"84";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2930";"II";"-";"4.177.890";"4.180.208";2.319;182;"11.115.822";"11.118.140";2;99;739;"Putative uncharacterized protein";"Sclerotinia sclerotiorum";"Ophiostoma piceae";"";"";"bacterial alpha-l-rhamnosidase domain protein";2;"P:metabolic process; F:catalytic activity";"";"GH78 ";"";"Y";"";"";"";"g2930"
"85";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2934";"II";"-";"4.187.896";"4.189.874";1.979;1.567;"11.125.828";"11.127.806";1;53;641;"Glucoamylase";"Aspergillus fumigatus";"Ophiostoma piceae";"K01178";"E3.2.1.3; glucoamylase [EC:3.2.1.3]";"glucan -alpha-";3;"F:glucan 1,4-alpha-glucosidase activity; P:polysaccharide catabolic process; F:starch binding";"EC:3.2.1.3";"GH15-CBM20 ";"";"Y";"";"";"";"g2934"
"86";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2935";"II";"+";"4.195.137";"4.197.206";2.07;5.262;"11.133.069";"11.135.138";3;183;628;"Alpha amylase AMYI";"Aspergillus terreus";"Ophiostoma piceae";"K01176";"E3.2.1.1, amyA, malS; alpha-amylase [EC:3.2.1.1]";"alpha-";4;"F:alpha-amylase activity; P:carbohydrate catabolic process; F:calcium ion binding; F:starch binding";"EC:3.2.1.1";"GH13-CBM20 ";"";"Y";"";"";"";"g2935"
"87";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2946";"II";"-";"4.234.221";"4.234.971";751;553;"11.172.153";"11.172.903";1;58;230;"Probable endo-beta-1,4-glucanase D (Endoglucanase D/Cellulase D)";"Togninia minima";"Sporothrix schenckii";"";"";"glycoside hydrolase family 61 protein";4;"F:molecular_function; P:biological_process; C:cellular_component; F:hydrolase activity";"";"GH61 ";"";"Y";"";"";"";"g2946"
"88";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2948";"II";"-";"4.241.407";"4.242.480";1.074;3.332;"11.179.339";"11.180.412";0;0;357;"Chitinase 1";"Podospora anserina";"Ophiostoma piceae";"";"";"glycosyl hydrolase family 18";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process";"EC:3.2.1.0";"GH18 ";"";"N";"";"";"";"g2948"
"89";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2955";"II";"+";"4.266.809";"4.268.029";1.221;1.057;"11.204.741";"11.205.961";1;75;381;"Chitinase 2";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 18 protein";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process";"EC:3.2.1.0";"GH18 ";"";"N";"";"";"";"g2955"
"90";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp2963";"II";"-";"4.301.289";"4.302.546";1.258;1.5;"11.239.221";"11.240.478";1;55;400;"Extracellular cell wall glucanase";"Grosmannia clavigera";"Ophiostoma piceae";"K08235";"E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]";"glycoside hydrolase family 16 protein";2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process";"EC:3.2.1.0";"GH16 ";"";"Y";"";"";"";"g2963"
"91";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3018";"II";"-";"4.507.320";"4.509.642";2.323;3.925;"11.445.252";"11.447.574";1;109;737;"Beta-glucanase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 81 protein";1;"F:hydrolase activity";"-";"GH81 ";"";"N";"";"";"";"g3018"
"92";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3025";"II";"+";"4.527.914";"4.529.615";1.702;2.261;"11.465.846";"11.467.547";2;124;525;"Mannosyl-oligosaccharide alpha-1,2-mannosidase";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"glycoside hydrolase family 47 protein";3;"F:mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; F:calcium ion binding; C:membrane";"EC:3.2.1.113";"GH47 ";"";"Y";"";"";"";"g3025"
"93";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3250";"II";"+";"5.296.581";"5.297.483";903;866;"12.234.513";"12.235.415";0;0;300;"Glycoside hydrolase family 17 protein";"Botrytis cinerea";"Ophiostoma piceae";"K01210";"E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]";"glucan -beta-glucosidase";5;"P:carbohydrate metabolic process; F:1,3-beta-glucanosyltransferase activity; F:glucan endo-1,3-beta-D-glucosidase activity; C:fungal-type cell wall; F:cation binding";"EC:3.2.1.39";"GH17 ";"";"Y";"";"";"roughly area acquired from O. ulmi";"g3250"
"94";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3285";"II";"+";"5.438.715";"5.441.842";3.128;3.275;"12.376.647";"12.379.774";2;188;979;"Protein mannosyltransferase 1";"Grosmannia clavigera";"Ophiostoma piceae";"K00728";"POMT; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]";"glycosyltransferase family 39 protein";3;"C:membrane; F:mannosyltransferase activity; P:protein O-linked glycosylation";"-";"GT39 ";"";"N";"";"";"roughly area acquired from O. ulmi";"g3285"
"95";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3296";"II";"+";"5.485.510";"5.488.229";2.72;249;"12.423.442";"12.426.161";1;86;877;"Beta-glucosidase B (Cellobiase B/Gentiobiase B)";"Colletotrichum fioriniae";"Ophiostoma piceae";"";"";"thermostable beta-glucosidase b";2;"F:hydrolase activity; P:metabolic process";"-";"GH3 ";"";"N";"";"";"roughly area acquired from O. ulmi";"g3296"
"96";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3327";"II";"+";"5.605.094";"5.606.110";1.017;1.939;"12.543.026";"12.544.042";0;0;338;"Xylosidase/arabinosidase (Beta-xylosidase)";"Togninia minima";"Ophiostoma piceae";"K15921";"xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]";"xylosidase arabinosidase";2;"P:carbohydrate metabolic process; F:xylan 1,4-beta-xylosidase activity";"EC:3.2.1.37";"GH43 ";"";"N";"";"";"roughly area acquired from O. ulmi";"g3327"
"97";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3368";"II";"+";"5.739.037";"5.741.078";2.042;2.471;"12.676.969";"12.679.010";1;110;643;"Mannan endo-1,6-alpha-mannosidase DCW1";"Togninia minima";"Ophiostoma piceae";"K08257";"E3.2.1.101; mannan endo-1,6-alpha-mannosidase [EC:3.2.1.101]";"glycosyl hydrolase family 76";2;"F:hydrolase activity; P:metabolic process";"";"GH76 ";"";"Y";"";"";"";"g3368"
"98";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3383";"II";"-";"5.807.336";"5.808.097";762;1.266;"12.745.268";"12.746.029";0;0;253;"Carbohydrate-binding module family 52 protein";"Myceliophthora thermophila";"Ophiostoma piceae";"";"";"";0;"-";"";"CBM52 ";"";"Y";"";"";"";"g3383"
"99";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3406";"II";"-";"5.887.776";"5.888.600";825;196;"12.825.708";"12.826.532";1;51;257;"Glycoside hydrolase family 61 protein";"Scedosporium apiospermum";"Ophiostoma piceae";"";"";"glycoside hydrolase family 61 protein";1;"F:hydrolase activity";"-";"GH61 ";"";"Y";"";"";"";"g3406"
"100";"Comeau; Martha Nigg; Sbaraini; Thais C.Oliveira; Anna Fijarczyk";"CAZYmes";"OphioH327gp3419";"II";"+";"5.938.171";"5.940.045";1.875;2.824;"12.876.103";"12.877.977";0;0;624;"Alpha-mannosyltransferase";"Grosmannia clavigera";"Ophiostoma piceae";"K05535";"MNN2; alpha 1,2-mannosyltransferase [EC:2.4.1.-]";"alpha- -mannosyltransferase";3;"P:protein glycosylation; F:transferase activity; F:transferase activity, transferring glycosyl groups";"";"GT71 ";"";"N";"";"";"";"g3419"
